"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SCN7A",-1.07902933237082,0.406695066437277,-21.3162323630362,5.74406362383536e-45,1.1990607943808e-42,91.8889386943333
"ALB",-6.08566630073352,3.55055155836069,-21.3080623845829,5.97773033187052e-45,1.24243631469163e-42,91.8491667286907
"LINC01758",-1.98274116328393,0.803241100918991,-21.3017161163529,6.16581329272915e-45,1.27600443021772e-42,91.8182668589472
"SLC7A8",-4.28051838380192,3.96182909747342,-21.2995738921676,6.23063581279715e-45,1.28388535040351e-42,91.8078352539003
"HNF4A-AS1",-2.40146848161503,1.00367250061699,-21.2953225056383,6.36131648638131e-45,1.30521165446214e-42,91.7871313159799
"TMEM91",3.7477296969297,4.40324343657494,21.2881480099559,6.58812799776901e-45,1.34599660182504e-42,91.7521868557557
"SLC13A3",-6.21787097976349,3.33713435775307,-21.2540235523249,7.78338439120027e-45,1.58345699741656e-42,91.585889192231
"AC019080.1",-2.38582141680979,2.01223157170872,-21.2387744659928,8.38581002615779e-45,1.69881650200797e-42,91.5115285421199
"TMSB10",2.9830239402672,11.7481905897789,21.1807540709845,1.11390595471322e-44,2.24709465116349e-42,91.2283281538305
"SHBG",-2.12660385565001,1.33835776266246,-21.1219117995652,1.48623028736041e-44,2.98564387266728e-42,90.9406796679045
"MSC",3.38152942810458,3.68414155289414,21.0124316308944,2.54449829983064e-44,5.05012705665117e-42,90.4043189257554
"PHKA2",2.70271286258646,4.40502408991942,21.0123540500914,2.5454693570557e-44,5.05012705665117e-42,90.4039383048773
"MIR4435-2HG",2.69101030084722,3.54541844104273,20.9967007254722,2.74921827326228e-44,5.43191225250488e-42,90.3271255298145
"MLKL",2.42999146041687,3.80304599306814,20.9759410738222,3.04495052551845e-44,5.99156412422918e-42,90.2252073180334
"EFNA3",2.18113347119711,2.0270582283803,20.939664721913,3.64059770837735e-44,7.13438274182096e-42,90.0469792442853
"EDDM3A",-1.0303634313114,0.421187606695496,-20.8993022173783,4.44211365355965e-44,8.66970572092301e-42,89.8484788471542
"ATP12A",-1.92192676059983,0.696643540169628,-20.8930765035571,4.5806486370369e-44,8.90389078386297e-42,89.8178427007161
"TTC36",-3.05861962905298,1.75613390388961,-20.8374482833319,6.02827591310026e-44,1.16705477072488e-41,89.5438825075293
"GABRD",3.67266513881632,2.73539089954351,20.7473584570522,9.41247088581306e-44,1.81490583200665e-41,89.0993684705636
"CCDC181",-2.16775761319899,1.47044056487425,-20.7311085834435,1.02012933799759e-43,1.9591379910376e-41,89.019079570594
"C3",4.85795849542304,6.40500078706766,20.6580427519504,1.46551436546328e-43,2.80327791691725e-41,88.6576532087745
"AC010655.2",4.28182136887187,3.39289907339833,20.6546692168349,1.49025805483396e-43,2.83929641780508e-41,88.6409492946017
"RNF212B",-3.04726713959535,1.84419579290845,-20.6526228036032,1.50547195505418e-43,2.85694543502219e-41,88.630815860397
"BMPR1B-DT",-1.3158611346046,0.470748628722438,-20.6164296384003,1.80188710907562e-43,3.40599227877712e-41,88.4515062238867
"CDCA2",3.72399457206836,2.76176931977656,20.5844732727996,2.11205393349126e-43,3.96109115057744e-41,88.2930478588543
"TREM2",4.25536411460454,4.3354212227427,20.5461335374013,2.55584631770644e-43,4.77475849827711e-41,88.1027651433206
"AC128707.1",-1.12272477728478,0.429670258238072,-20.497398032261,3.25791690199257e-43,6.06275605808013e-41,87.8606168480712
"ZPLD2P",-1.68701688587372,1.67024539589411,-20.4488519499927,4.15016261982448e-43,7.66375414242357e-41,87.6191084452643
"TYMP",3.16184739606991,4.33879084658393,20.4453791505516,4.22270084454528e-43,7.76782808231065e-41,87.6018203397024
"TUBAL3",-2.88859830742208,1.12928676781783,-20.3673207108996,6.23604997772559e-43,1.14276805927695e-40,87.2128278435089
"ERICH4",-3.57119521922093,2.15556535185393,-20.3609264096316,6.43864540459842e-43,1.17478431681855e-40,87.1809283410006
"S100A2",-3.49691819598169,3.20297622884535,-20.3568355806274,6.57171507152464e-43,1.19064597741148e-40,87.1605175236124
"CASR",-3.24537256832552,1.69587286207965,-20.330141637658,7.51058197223214e-43,1.35563181071733e-40,87.0272780836291
"APOC1",5.09710382309489,7.19548486023434,20.3053465121699,8.50311707836161e-43,1.52903242384381e-40,86.9034348594405
"MRPS9-AS2",-1.19485179612251,0.668308516917866,-20.2806478607205,9.6229128689609e-43,1.72393765919608e-40,86.7799954566568
"HK2",3.75050639607707,3.30667288523474,20.2624339235605,1.05426511689136e-42,1.88168686959807e-40,86.6889155893712
"B4GALNT3",-1.7844122555761,1.39162039140385,-20.1465645398499,1.88612438617962e-42,3.35394829737985e-40,86.1085120121711
"FAM151A",-5.68686445999223,3.8957530143971,-20.1216101316228,2.13832097609393e-42,3.78837884517424e-40,85.9832880285966
"Z93403.1",-1.3388000289332,0.591224841392155,-20.0769171561501,2.67776026856467e-42,4.72664066229142e-40,85.7588149773684
"CAVIN3",2.84811057328939,4.69564201546281,20.0666073971548,2.82048889463389e-42,4.96034112854074e-40,85.7069974094816
"ITGA5",3.06431954313809,4.27126523876709,20.0546960722484,2.99493780405509e-42,5.24791802366033e-40,85.6471133593577
"ERBB4",-1.94565511960879,0.885466777567605,-20.0390683713192,3.24037239586077e-42,5.65733670800244e-40,85.5685177916071
"ITGA6-AS1",2.10523977143231,1.77707903479978,20.0338504985044,3.32674255991619e-42,5.78708564444551e-40,85.5422688755102
"BMPR1B",-2.02263870548721,0.993779754207793,-20.0252264191554,3.47459717775682e-42,6.0224678591502e-40,85.4988771497703
"ANGPT2",3.95978601446363,3.72777548154223,20.0127097449952,3.701017359602e-42,6.39184336220185e-40,85.4358830865625
"AL354863.1",-1.29066751486467,0.45594777119942,-19.9564315079626,4.91699720942297e-42,8.4323814043751e-40,85.1523981225561
