Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-CJ-4873-01	0	0	0.0440568619321075	0.214038707029639	0	0.140160990313976	0.0122351225224904	0.00177175055067906	0.104289707497739	0.00567476318978441	0.00334631652287805	0	0.049272829011534	0.0344759667523907	0.0783488392744542	0.299233997327081	0.00281683387099957	0	0.0102773142042471	0	0	0	0.003	0.398377138840074	0.917869818320626
TCGA-BP-4340-01	0.0653409640185543	0	0.0383643926183001	0.0847931822881702	0	0.239128732079433	0	0.0282352198172066	0.0154944819008612	0	0.0560831986318266	0.0537935408391585	0.0661767693368467	0	0.146197081924932	0.146859077913449	0.00107794588510823	0.00471575456848279	0.0537396581776707	0	0	0	0.214	0.0871437284808465	1.06494252617651
TCGA-B0-5116-01	0.0266314526839705	0	0.0023030263570022	0.101963263964855	0	0.324837107135055	0	0.0185884764393808	0.027754059633472	0.0755395864774664	0	0.0527273028763171	0.00127637546635258	0.0164163549765731	0.109071605630374	0.170446426314334	0.00205186212311769	0	0.0703930999217296	0	0	0	0.184	0.0936049530854564	1.07202245941732
TCGA-BP-4801-01	0	0	0	0.109016022542831	0	0.10976754730267	0	0	0.0255680337507484	0.00294961247022248	0	0.0289313934197427	0.0158484513931912	0.080822071241957	0.0680520824955294	0.494500624355985	0.0173823223533815	0	0.0430212725493101	0	0	0.00414056612443193	0.002	0.446028798542946	0.896364174531575
TCGA-B0-5094-01	0	0	0.0219787813173459	0.193299885474832	0	0.133374772230304	0	0.0476712205678484	0.0679257110862505	0	0.055560317678748	0.0538531446490689	0.042625498101218	0.0749341116916268	0.0800357706977881	0.17469502229514	0.0121660784966636	0	0.0345518684511742	0	0	0.00732781726199209	0.111	0.116821620167339	1.05222437607488
TCGA-CW-5584-01	0	0	0.0115743709145385	0.00842997204942302	0	0.280988932452514	0	0	0.0157864656942886	0	0	0.0348624576539757	0.234406252193831	0	0.124217441852298	0.205421033500097	0.00440772305643034	0	0.0799053506326043	0	0	0	0.011	0.25183183152933	0.987452240308745
TCGA-CJ-6033-01	0.0244839630590007	0	0.013226478060458	0.170031963347333	0	0.0766869101251118	0	0	0.0912033864883931	0.0464725869546391	0	0.00956078050953043	0.0571815131862438	0.22305397094694	0.0731764258003573	0.173852842783008	0	0	0.041069178738985	0	0	0	0.055	0.153858219946886	1.03433753980853
TCGA-B8-A54D-01	0.00709876215492052	0	0.0119702287431878	0.507523549913114	0	0	0	0.03308150193976	0.0243184553111948	0.122653466726175	0	0.0470789757453121	0	0	0.0487226497308083	0.190256498005702	0.00603876440994761	0	0	0.001257147319878	0	0	0.003	0.407006189915733	0.935146803842829
TCGA-BP-4342-01	0.0293154978096185	0	0	0.0831585416722926	0	0.346772098785761	0	0.00977113712534139	0.0324525149438131	0	0.00732438743358609	0.0383069520654619	0.0478075263860274	0	0.10012832003112	0.241830280878857	0.0146387751964082	0	0.0472114892511716	0	0	0.00128247842054133	0.024	0.207614273252486	1.00909795732663
TCGA-G6-A5PC-01	0	0	0.0194431752826675	0.482033682367602	0	0.0285266460785808	0	0.0373950659616319	0.110135341347863	0	0	0.0550829096977674	0.059801695835583	0	0.0583576246841261	0.115369972408154	0.00483368970346749	0	0.0290201966325571	0	0	0	0.00600000000000001	0.336581450551202	0.965870041597001
