"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MCUB",1.3186851676701,3.04377179721894,12.5906605483442,2.48568119004812e-32,2.67835581488997e-31,62.1133810404129
"GPRC5A",-2.32044950599145,2.20244089739417,-12.5844096789867,2.64540762421586e-32,2.84888928189298e-31,62.0514590651339
"TNK2",1.14609111471019,3.21453462262672,12.5642364221354,3.2339235106069e-32,3.47499780867032e-31,61.8517402430852
"FCHO1",1.26502807993117,1.67661060942023,12.5596485117854,3.38500023607458e-32,3.63533367864331e-31,61.8063447764288
"TMEM45A",2.3302414051486,3.56554103230706,12.559366613914,3.3945087600268e-32,3.64353903944979e-31,61.8035558245252
"GDF7",-1.26695758019889,1.67994161477298,-12.555865062714,3.51485743568846e-32,3.76649805319956e-31,61.768916282561
"HPCA",1.16095156080229,1.42603761080497,12.5435037385648,3.97469716848876e-32,4.25225007553683e-31,61.6466746902418
"DNAJC11",-1.10909791238208,4.35882535538074,-12.540531236265,4.09392360089201e-32,4.37740087654589e-31,61.6172898300653
"HLA-DQB2",2.47646264135143,4.66224429017164,12.5380295007223,4.19702209727308e-32,4.48517928565024e-31,61.5925618692248
"UBASH3A",1.32815125273229,1.62192462367584,12.5290967747577,4.5866899290084e-32,4.89891641212764e-31,61.5042910946575
"MARVELD3",-1.38659239486324,2.14651020420639,-12.5282896430141,4.62362500591842e-32,4.93566275262326e-31,61.4963170219105
"RHOBTB3",-1.87669267948935,3.61132814379873,-12.5248863942926,4.78264472990994e-32,5.09983161112267e-31,61.4626978180782
"PLD4",1.48532964802738,2.1818262539589,12.5204434762666,4.99846408486607e-32,5.32414227455724e-31,61.4188160953567
"RPS8",1.00096098677998,9.75651440607628,12.5191594498082,5.06262365683843e-32,5.38953871066157e-31,61.4061357199569
"HDAC10",1.04256489172841,2.30525858567364,12.5161299245884,5.21726890348451e-32,5.55113995770095e-31,61.3762206802686
"SLC29A4",1.80264817054185,4.0428906423385,12.5160442416201,5.22171038837263e-32,5.55283629795155e-31,61.3753746646906
"TRAM1L1",-1.29522611706637,3.02363964396964,-12.5119502570273,5.43837184770632e-32,5.77693715391157e-31,61.3349554152435
"ITPR2",-1.3963458986373,3.54602986178154,-12.5109834030049,5.49083220125867e-32,5.82948831906086e-31,61.32541093461
"GRB10",1.52551038921644,5.40136596494589,12.5089760871636,5.60136080775792e-32,5.94359846755727e-31,61.3055966987629
"NNT",-1.45555481267316,5.02436438403249,-12.5064356400656,5.74442569960472e-32,6.09208996299026e-31,61.2805225483862
"LRRC19",-2.40489349997368,3.37335258916126,-12.4980570208625,6.24254798136313e-32,6.61676159133289e-31,61.1978466181132
"PYGO1",-1.00864870748594,0.95093952495565,-12.4888316314199,6.8408686049453e-32,7.24307602618068e-31,61.1068522093144
"NRG3",1.20272897576118,1.90282770679731,12.4853603075385,7.08049811274317e-32,7.49272678745687e-31,61.0726229439124
"PCSK6",2.3114905638056,3.64673814365486,12.4850651157592,7.10125694989896e-32,7.51061899641429e-31,61.0697124356693
"MYO5C",-1.11026435655714,2.58357569337512,-12.4699762647373,8.24710447402234e-32,8.71307034435849e-31,60.9209936192975
"PDE1B",1.25608217175838,2.67071312383677,12.4686462951648,8.35652375314935e-32,8.82389186560216e-31,60.9078901577482
"CD3G",1.63062547587152,2.26643809776025,12.468430766903,8.37439125850295e-32,8.8379736317415e-31,60.9057667520656
"CDKN3",1.1721099165629,2.00790590455884,12.4671342182669,8.48268172770637e-32,8.94741707601176e-31,60.8929934756218
"TLR2",1.44436694607092,4.03500604094205,12.4666365402044,8.52461806423768e-32,8.98679060036906e-31,60.8880906787702
"PTPRC",1.87476977793189,4.41128677648736,12.4660436265443,8.57484879601382e-32,9.03486094374163e-31,60.8822498314342
"IL3RA",1.36342782763355,4.97072146786193,12.4641859777227,8.7341413950862e-32,9.19276630482278e-31,60.8639510028099
"SLC25A4",-1.17864864389839,5.13054281873607,-12.4594454482022,9.15411533365529e-32,9.61032424024248e-31,60.8172614270456
